Technology,Green roof type,Plant species,Irrigation,PV panel type,PV panels and GR locations,Distance PV-green roof [cm],Distance PV-basecase roof [cm],Season,Base case roof situation,Building type,Base case roof,Base case insulation,Roof slope,Item,Item type,Item scale,Item class,Original monetary value,u.m.,Original year(s) at which the item is accounted,Green roof lifetime [years],Actual year(s) at which the item is accounted,Actual monetary value at the accounting year,PPP Exchange rate [€ EU27-year/ local currency-year],Inflation adjustment ratio [GDP deflator 2019/GDP deflator year],Adjusted Monetary value [EU27 2019 €/m2],Method for monetary value,Quantiative absolute evaluation,u.m.3,Method for absolute evaluation,Quantiative absolute evaluation 2,u.m. 3,Method for absolute evaluation 2,Climate,Continent,Country,City,Authors,Year,Title,Study type
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.1,2017 €/m2,every year,40,every year,0.1,1.193,1.619,0.193102354,Avoided cost (electricity consumption for cooling),2.5-3.3,% increase in cooling needs/°C increase in air temp.,"Value from literature (Akbary, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Flood risk reduction,benefit,urban,socio-environmental,0.005,2017 €/m2,0-15,40,every year,0.005,1.193,1.619,1.619024104,Avoided cost,74-89,% reduction in runoff peak flow,"Value adapted from literature (Fioretti et al, 2010)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis
